class_id,class_name,sample_index,split,image,label_line,orientation,anchor_visible,anchor_location,ocr_risk,notes
1,RDC,1,train,1775040206432_6639_1025_48-012.jpg,0,upright/slight_skew,unclear,,medium,Readable horizontal SKU; no strong class-specific dark anchor visible in crop.
1,RDC,10,train,1775040206432_6639_1025_48-012.jpg,12,upright/slight_skew,unclear,,medium,Readable but crop is slanted; anchor cue is not obvious.
1,RDC,28,train,1775040206432_6639_1187_48-002.jpg,1,rotated_90_or_270,unclear,,high,Text is vertical; this is a good OCR-rotation failure candidate.
1,RDC,29,train,1775040206432_6639_1187_48-002.jpg,2,rotated_90_or_270,unclear,,high,Text is vertical; likely needs rotation normalization.
1,RDC,39,train,1775040214757_1002_1069_61-002.jpg,8,upright/slight_skew,unclear,,medium,Readable SKU with moderate perspective skew.
1,RDC,40,train,1775040214757_1002_1069_61-002.jpg,9,upright/slight_skew,unclear,,low,Readable horizontal SKU; likely OCR-friendly.
2,Printed_on_Box,2,train,1775040201462_6672_1023_12-022.jpg,5,rotated_90_or_270,visible,side/top band after rotation,high,Label is vertical; printed dark header/band provides strong orientation signal.
2,Printed_on_Box,4,train,1775040201462_6672_1023_12-022.jpg,12,rotated_90_or_270,visible,side/top band after rotation,high,Rotated crop with visible printed header; strong anchor candidate.
2,Printed_on_Box,7,train,1775040201462_6672_1023_12-022.jpg,17,upright/slight_skew,visible,top band,low,Dark printed header appears in top region; good anchor example.
2,Printed_on_Box,16,train,1775040201462_6672_1055_12-020.jpg,34,upright/slight_skew,visible,top band,low,Header band and SKU are readable; good positive anchor example.
2,Printed_on_Box,23,train,1775040201462_6672_1055_12-020.jpg,41,rotated_90_or_270,visible,side/top band after rotation,high,Vertical label with clear printed band; likely recoverable by anchor quadrant.
2,Printed_on_Box,27,train,1775040201462_6672_1055_12-020.jpg,45,rotated_90_or_270,visible,side/top band after rotation,high,Tall vertical label; anchor should support 90/270 correction.
0,Pallet,1,train,1775040206432_6639_1025_48-012.jpg,3,upright/slight_skew,visible,top_left_circle,low,Dark circular pallet mark visible near top-left; strong anchor candidate.
0,Pallet,8,train,1775040206432_6639_1087_48-008.jpg,9,rotated_90_or_270,visible,side/top_left_after_rotation,high,Label is vertical; circular mark is visible and should indicate rotation.
0,Pallet,19,train,1775040214757_1002_1069_61-002.jpg,2,rotated_90_or_270,visible,side/top_left_after_rotation,high,Vertical pallet crop with circular mark; good anchor-quadrant test case.
0,Pallet,24,train,1775040214757_1002_1069_61-002.jpg,17,upright/slight_skew,visible,top_left_circle,low,"Upright, readable, clear circular anchor near expected position."
0,Pallet,35,train,1775040222857_1070_1147_43-008.jpg,10,upright/slight_skew,visible,top_left_circle,low,Clear circular anchor and readable text.
0,Pallet,42,train,1775040222857_1070_1215_43-011.jpg,5,rotated_or_skewed,visible,top_or_side_circle,medium,Circular anchor visible but crop has perspective/rotation.
3,Handwritten,2,train,1775040201462_6672_1023_12-022.jpg,4,rotated_90_or_270,not_reliable,,high,Vertical crop; no stable printed anchor visible.
3,Handwritten,10,train,1775040201462_6672_1055_12-020.jpg,6,upright/slight_skew,not_reliable,,medium,Readable numeric text but no stable printed anchor.
3,Handwritten,29,train,1775040201462_6672_1055_12-020.jpg,48,rotated_90_or_270,not_reliable,,high,Vertical handwritten/numeric crop; anchor-based correction unlikely.
3,Handwritten,33,train,1775040201462_6672_1055_12-020.jpg,56,rotated_90_or_270,not_reliable,,high,Vertical crop; use OCR-try-all-rotations or classifier rather than anchor.
3,Handwritten,41,train,1775040201462_6672_1055_12-020.jpg,73,upright/slight_skew,not_reliable,,medium,Horizontal text but blurry/low contrast; no anchor cue.
